county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Monroe,2004,15.1,1,,,,Philadelphia,2009,54.3,0,,,,,
Northumberland,2004,10.5,1,,,,Westmoreland,2009,19.3,0,,,,,
Schuylkill,2004,15.9,1,,,,York,2009,8,0,,,,,
Somerset,2004,8.9,1,,,,Allegheny,2010,19.7,0,,,,,
Susquehanna,2004,23.5,1,,,,Beaver,2010,13.5,0,,,,,
Venango,2004,18.2,1,,,,Berks,2010,13.3,0,,,,,
Washington,2004,19.7,1,,,,Bucks,2010,11.8,0,,,,,
Wayne,2004,10.7,1,,,,Chester,2010,8,0,,,,,
Wyoming,2004,18.7,1,,,,Cumberland,2010,6.1,0,,,,,
Cameron,2004,NA,1,,,,Dauphin,2010,9.6,0,,,,,
Clarion,2004,15.1,1,,,,Delaware,2010,20.1,0,,,,,
Clinton,2004,4.9,1,,,,Erie,2010,7,0,,,,,
Forest,2004,NA,1,,,,Lackawanna,2010,12.3,0,,,,,
Fulton,2004,NA,1,,,,Lancaster,2010,7.7,0,,,,,
Juniata,2004,NA,1,,,,Lebanon,2010,9,0,,,,,
Montour,2004,NA,1,,,,Lehigh,2010,13.8,0,,,,,
Perry,2004,8.3,1,,,,Luzerne,2010,13.2,0,,,,,
Pike,2004,7.8,1,,,,Montgomery,2010,10.7,0,,,,,
Potter,2004,NA,1,,,,Northampton,2010,14.7,0,,,,,
Snyder,2004,5.3,1,,,,Philadelphia,2010,47.9,0,,,,,
Sullivan,2004,NA,1,,,,Westmoreland,2010,17.5,0,,,,,
Tioga,2004,9.9,1,,,,York,2010,5,0,,,,,
Union,2004,5.7,1,,,,Allegheny,2011,18.8,0,,,,,
Warren,2004,5.3,1,,,,Beaver,2011,14.6,0,,,,,
Adams,2005,8.2,1,,,,Berks,2011,15.9,0,,,,,
Armstrong,2005,15.8,1,,,,Bucks,2011,11.8,0,,,,,
Bedford,2005,7.3,1,,,,Chester,2011,7,0,,,,,
Blair,2005,9.4,1,,,,Cumberland,2011,6.6,0,,,,,
Bradford,2005,9.2,1,,,,Dauphin,2011,10.7,0,,,,,
Butler,2005,11.9,1,,,,Delaware,2011,19.1,0,,,,,
